Week End,Season,Measure,Age Group,Race/Ethnicity,Sex,Population Size,Count,Percent
10/07/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Unknown,All Sexes,,25,
10/14/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Unknown,All Sexes,,34,
10/21/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Unknown,All Sexes,,37,
10/28/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Unknown,All Sexes,,38,
11/04/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Unknown,All Sexes,,39,
09/16/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"White, non-Latinx",All Sexes,28798,5,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"White, non-Latinx",All Sexes,28798,56,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"White, non-Latinx",All Sexes,28798,129,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"White, non-Latinx",All Sexes,28798,223,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"White, non-Latinx",All Sexes,28798,346,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"White, non-Latinx",All Sexes,28798,460,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"White, non-Latinx",All Sexes,28798,565,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"White, non-Latinx",All Sexes,28798,593,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,18+ yrs,All Race/Ethnicities,All Sexes,2201215,640,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,18+ yrs,All Race/Ethnicities,All Sexes,2201215,22276,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,18+ yrs,All Race/Ethnicities,All Sexes,2201215,46765,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,18+ yrs,All Race/Ethnicities,All Sexes,2201215,79867,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,18+ yrs,All Race/Ethnicities,All Sexes,2201215,111728,0.1
10/21/2023,2023-2024,UpToDate_2023_2024,18+ yrs,All Race/Ethnicities,All Sexes,2201215,138769,0.1
10/28/2023,2023-2024,UpToDate_2023_2024,18+ yrs,All Race/Ethnicities,All Sexes,2201215,153854,0.1
11/04/2023,2023-2024,UpToDate_2023_2024,18+ yrs,All Race/Ethnicities,All Sexes,2201215,159516,0.1
09/16/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,All Race/Ethnicities,All Sexes,560271,57,0.0
